Well,Plate,tags,Nuclei Big,Nuclei MAP2 Tot,Nuclei SNCA MAP2 Tot,Nuclei SNCA Tot,Nuclei Tot,Nuclei dead,avg intensity LAMP2,avg intensity LAMP2 SNCA SNCA,avg intensity LAMP2 SNCA_LMAP2,avg intensity MAP2,avg intensity SNCA,avg intensity SNCA wo nuclei,avg_intensity_LAMP2_MAP2_Q1,avg_intensity_LAMP2_MAP2_Q2,avg_intensity_LAMP2_MAP2_Q3,avg_intensity_LAMP2_MAP2_SNCA_Q1,avg_intensity_LAMP2_MAP2_SNCA_Q2,avg_intensity_LAMP2_MAP2_SNCA_Q3,avg_nuclei_area,avg_segments_per_branch,avg_segments_per_neurite,compos_LAMP2_MAP2,compos_LAMP2_MAP2_SNCA,compos_LAMP2_MAP2_SNCA_per_nuclei,compos_LAMP2_MAP2_per_nuclei,end points per nuclei,ratio_compos_lamp2_snca_over_map2,ratio_nuclei_MAP2,ratio_nuclei_SNCA,ratio_nuclei_SNCA_MAP2,ratio_surface_LAMP2_SNCA_LAMP2,ratio_surface_LAMP2_SNCA_SNCA,skelet_length_map2,skelet_length_map2_per_nuclei,start points per nuclei,sum intensity LAMP2 SNCA LAMP2,sum intensity LAMP2 SNCA SNCA,sum intensity per nuclei SNCA,sum_intensity_LAMP2_per_nuclei,surface LAMP2,surface LAMP2 SNCA,surface MAP2,surface SNCA,surface SNCA wo nuclei,surface SNCA_tubulin wo nuclei,surface_LAMP2_MAP2_Q1,surface_LAMP2_MAP2_Q2,surface_LAMP2_MAP2_Q3,surface_LAMP2_MAP2_SNCA_Q1,surface_LAMP2_MAP2_SNCA_Q2,surface_LAMP2_MAP2_SNCA_Q3,surface_LAMP2_SNCA_per_nuclei,surface_LAMP2_per_nuclei,surface_MAP2_per_nuclei,surface_SNCA_MAP2_per_nuclei,surface_SNCA_per_nuclei,surface_SNCA_wo_nuclei_per_nuclei
E07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 Mut;PEP005,0.0,256.0,183.0,186.0,373.0,101.0,464.999,543.431,481.687,685.1,410.335,164.409,271.8,292.185,340.875,274.143,298.5,353.5,2870.96,4.22893,46.2539,58043.0,46632.0,254.82,226.73,52.0039,0.803404,0.686327,0.49866,0.490617,0.583165,0.0600287,306634.0,1197.79,10.9375,1952460.0,2202730.0,27707400.0,1611690.0,1292820.0,753927.0,19434400.0,12559400.0,2951340.0,2027250.0,5.0,12.0,26.0,6.0,14.0,29.0,4119.82,5050.07,75915.7,10641.0,67523.8,15867.4
J09,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 Mut,1.0,270.0,182.0,192.0,390.0,38.0,443.695,907.155,454.024,693.236,483.038,164.997,268.5,283.375,324.333,270.333,288.0,335.375,2891.29,4.12972,44.5704,61152.0,48808.0,268.176,226.489,48.537,0.798142,0.692308,0.492308,0.466667,0.61475,0.052163,310023.0,1148.23,10.7926,1728120.0,3452850.0,35246400.0,1352440.0,1188770.0,730798.0,20629500.0,14009900.0,3395310.0,2109680.0,4.0,10.0,23.0,5.0,13.0,27.0,4015.37,4402.86,76405.5,10949.7,72968.2,17683.9
L03,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;Prostratine,0.0,198.0,197.0,244.0,252.0,27.0,373.636,608.688,373.616,489.928,362.042,222.816,262.5,269.222,280.0,262.5,269.219,280.0,3348.6,3.45407,40.0707,132105.0,131998.0,670.041,667.197,35.7828,0.99919,0.785714,0.968254,0.781746,0.996664,0.0326047,220940.0,1115.86,11.601,4883620.0,7956300.0,145142000.0,4744660.0,3200050.0,3189380.0,25482500.0,97819600.0,53498700.0,12833800.0,3.0,8.0,23.0,3.0,8.0,23.0,16189.7,16161.9,128699.0,40777.5,400900.0,219257.0
B04,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;PEP005,0.0,139.0,130.0,133.0,208.0,73.0,547.095,608.804,573.994,615.077,451.006,172.493,271.4,290.739,342.821,272.05,292.625,347.986,2934.52,4.43736,72.6259,50018.0,44693.0,343.792,359.842,78.9424,0.893538,0.668269,0.639423,0.625,0.695155,0.0614682,310691.0,2235.19,16.3669,3659950.0,3881910.0,46784300.0,3208770.0,1219940.0,848047.0,16621900.0,13796500.0,6006640.0,4824830.0,5.0,12.0,27.0,5.0,13.0,29.0,6523.44,8776.55,119582.0,13446.1,103733.0,45162.7
B06,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;PEP005,9.0,140.0,110.0,122.0,372.0,24.0,432.781,624.648,442.807,593.667,433.311,157.096,269.75,285.7,334.105,271.5,289.8,344.444,3084.68,3.90037,83.3286,63875.0,55709.0,506.445,456.25,87.5643,0.872157,0.376344,0.327957,0.295699,0.7344,0.0594128,328987.0,2349.91,21.3643,3716590.0,5242830.0,61213900.0,1622120.0,1394300.0,1023980.0,20844800.0,17235000.0,5892140.0,4434920.0,4.0,11.0,27.0,5.0,13.0,29.0,9308.88,9959.31,148891.0,16894.8,141270.0,48296.2
I07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 Mut,0.0,240.0,186.0,187.0,312.0,65.0,512.351,651.685,535.932,738.579,436.195,176.778,273.714,298.154,355.065,276.0,304.917,365.476,2977.88,4.51914,58.0333,63178.0,53102.0,285.495,263.242,60.3792,0.840514,0.769231,0.599359,0.596154,0.646787,0.0624388,361052.0,1504.38,12.8417,2666210.0,3242070.0,34754500.0,2361990.0,1438350.0,930307.0,20590600.0,14899500.0,3831440.0,2476330.0,5.0,13.0,28.0,7.0,15.0,31.0,5001.65,5993.13,85794.2,10227.4,79676.5,20489.0
G09,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 Mut,0.0,269.0,202.0,203.0,372.0,68.0,499.743,802.118,510.825,784.555,459.129,168.292,272.875,295.5,354.056,275.429,303.1,367.81,2767.17,3.25332,49.1747,63655.0,52787.0,261.322,236.636,46.6877,0.829267,0.723118,0.545699,0.543011,0.658272,0.0629905,340413.0,1265.48,15.1152,2482560.0,3898220.0,35423200.0,2013370.0,1498720.0,986562.0,23682000.0,15662100.0,3547860.0,2509720.0,5.0,13.0,28.0,6.0,15.0,31.0,4883.97,5571.43,88037.3,11029.2,77153.1,17477.2
M06,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;Prostratine,0.0,214.0,147.0,153.0,300.0,62.0,540.43,463.129,609.9,597.069,364.717,218.235,266.647,278.0,307.545,267.667,280.222,314.176,2888.47,4.3226,59.6075,71854.0,59600.0,405.442,335.766,64.4953,0.82946,0.713333,0.51,0.49,0.638797,0.0665438,364650.0,1703.97,13.7897,3820560.0,2901150.0,34333400.0,2702800.0,1500360.0,958428.0,19103800.0,14403000.0,5953040.0,4183010.0,4.0,10.0,24.0,4.0,12.0,27.0,6519.92,7011.04,89269.9,16898.2,94137.0,38908.7
K05,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;Prostratine,0.0,110.0,77.0,77.0,152.0,36.0,455.2,971.554,494.311,546.723,447.517,170.477,268.0,281.917,325.451,270.625,288.0,341.81,2717.31,4.19305,92.2091,50428.0,37481.0,486.766,458.436,95.6182,0.743258,0.723684,0.506579,0.506579,0.542662,0.0589645,269162.0,2446.93,21.9909,3852940.0,7572850.0,59157600.0,3312170.0,1106000.0,600182.0,16027200.0,10178700.0,3856130.0,2892180.0,4.0,11.0,26.0,5.0,14.0,31.0,7794.57,10054.5,145701.0,17163.5,132191.0,50079.6
O09,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 Mut;Prostratine,0.0,194.0,140.0,146.0,265.0,65.0,377.188,743.375,381.121,595.895,400.042,184.074,265.3,275.25,301.933,266.722,278.222,311.462,2626.36,4.43842,54.4278,71803.0,55045.0,393.179,370.119,65.2835,0.766611,0.732075,0.550943,0.528302,0.541136,0.0755252,279670.0,1441.6,12.2629,2108700.0,4113010.0,29306600.0,2124760.0,1492790.0,807802.0,17103800.0,10695800.0,2794540.0,1792240.0,3.0,10.0,25.0,4.0,13.0,30.0,5770.01,7694.79,88164.0,15597.6,73258.8,19140.7
