,Plate,Well,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Number_Total,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea,Class,CPD_ID,Experiment,Exp_CPD
0,p1,A03,Ctrl;DMSO,1.21687812,1.635574589,1.117585618,1.084180318,1.787960161,1.752354999,1.329733673,0.926858768,1.252072702,0.731524538,0.855156335,1.022680593,0.615810915,1.013604809,0.667628574,0.897245408,0.82259442,1.266173018,0.846710153,0.801275051,1.074833696,0.743955253,0.395317412,1.082347625,0.549310465,0.755810856,1.343829388,0.967137314,0.8512292,1.638427425,0.634456072,1.299935257,1.307087162,1.298412296,1.307925857,2.849659056,2.522101992,2.394073794,2.333904331,2.23007704,2.261096813,2.236897292,2.276723308,0.51866456,0.523180427,0.513494862,0.519221153,0.080556832,0.085128117,0.07906382,0.084529841,0.523768527,0.523400356,0.522996681,0.524470755,1.398388594,1.469253581,1.399214932,1.464400772,0.910254696,0.933144385,0.91123088,0.932056206,1.046502853,1.050679017,1.045868404,1.05117464,1.61058179,1.610213342,1.610496042,1.610213342,0.556220498,0.560233665,0.555269723,0.56046019,2.506663598,2.508191558,2.508153742,2.508191558,2.648191267,2.667512904,2.652393828,2.676558321,0.87082539,0.811332018,0.64062159,0.560421154,0.426350519,0.835273285,0.76608502,0.693376333,0.744570521,1.277756993,0.654987194,0.791978257,0.775286045,1.000019943,0.824648342,0.755632174,0.638079147,1.218248617,0.6867646,0.589391354,0.704546883,1.048322111,1.028528911,0.962408157,0.955478673,0.320519809,0.853545692,1.371024793,1.362655027,0.992974,1.82722022,1.859014975,,0.413570275,0.898113208,0.891687657,0.683870968,1.27480916,1.28957529,0.688709677,0.702107256,1.145719536,1.240025736,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
1,p1,B03,Ctrl;DMSO,0.475277232,0.427596937,0.918481888,1.217425818,0.519129478,0.521049628,1.028714766,0.875199183,1.091862954,0.720069142,0.840363319,0.911636105,1.065882643,0.800302174,0.914391871,1.101340353,1.130008279,0.935903919,0.673951983,0.835284624,1.016509816,0.697532981,0.7735905,1.243751953,1.019649918,0.939786215,1.274712853,0.887788195,0.86040359,1.041410822,0.601276776,1.136492395,1.139752199,1.135171546,1.139689926,0.537049844,0.421656744,0.295100878,0.415698664,0.385739399,0.394468862,0.499508727,0.389474432,0.651201751,0.651613692,0.641421109,0.653120186,0.410773755,0.426121484,0.410635018,0.427573086,0.780828426,0.779050786,0.779163159,0.782738409,1.326988242,1.393330196,1.331676927,1.377108352,1.055444622,1.083054344,1.057857368,1.077752642,1.051177309,1.055389855,1.050626704,1.055321728,0.491558189,0.491550921,0.494769642,0.491552151,0.813742078,0.812393776,0.813866161,0.813498752,0.404208562,0.404595823,0.48523368,0.404595823,0.413982777,0.41886036,0.517369251,0.41646854,0.984348769,1.13128521,0.784354488,0.344226197,0.929518949,0.792760682,0.693040957,0.402220064,0.818863483,1.298716096,0.498171974,0.840387474,0.840645327,1,0.875645536,0.826702547,0.493546565,1.083895212,0.812166507,0.876224161,1.182979371,0.984047093,0.942224914,1.059556025,0.93254163,0.643196147,1.055646986,1.199101033,1.197549969,0.99473,1.031039578,1.02393045,inf,0.852988691,1.396226415,1.392947103,1.217741935,1.278625954,1.262548263,1.224193548,0.785624262,1.104865707,1.196061888,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
2,p1,C03,Ctrl;DMSO,1.035061226,1.221820982,1.235292588,1.200198663,1.477664667,1.461303166,1.245410732,0.913952034,1.200481204,0.864152802,0.864894894,1.028935602,0.722380804,0.946628363,0.708473307,1.129013265,1.063707426,1.180431642,0.832502898,0.959918059,1.04044648,0.763805291,0.537841888,1.359539617,0.881560928,1.005535097,1.585146914,1.17131649,0.854511858,1.428905477,0.653895209,1.180371557,1.185251222,1.178840837,1.185318248,7.197483613,5.548101739,6.641215438,6.543902176,5.872735244,6.057907125,5.829474722,5.883419057,0.616199071,0.610040183,0.616778733,0.618753946,0.333624411,0.345605254,0.334705682,0.341168978,0.726377374,0.722206555,0.727346842,0.727984757,1.345834086,1.429423572,1.336757067,1.39954365,1.030632197,1.062770995,1.028111924,1.053036895,1.021344568,1.023666168,1.020417992,1.023244442,3.181368624,3.18031163,3.180335799,3.18031163,0.75684784,0.75490137,0.757173843,0.756279238,6.129170123,6.129838066,6.130793914,6.129838066,6.447117973,6.545940073,6.424104499,6.457812913,0.983494014,0.889621937,0.95443837,0.541012439,0.85093731,0.845991331,0.757403476,0.573561457,0.777063979,1.306470538,0.602357649,0.805556588,0.803873749,1.000017094,0.846955315,0.786718805,0.596790719,1.340129816,0.733239998,0.846045224,1.016678629,1.057122539,1.030628004,1.02535725,1.058999779,0.500734409,1.046070157,1.383805802,1.381246399,0.996491,1.667984559,1.642804347,,0.384491115,1.210062893,1.206549118,0.916129032,1.553435115,1.521235521,0.919354839,0.525791211,1.231967667,1.332335856,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
3,p1,D03,Ctrl;Prostratin,1.045892666,0.95687919,1.279460331,1.05857025,1.197600836,1.017739575,1.130158218,0.93616831,1.210151257,0.588981914,0.80406867,1.389243898,1.340628569,1.054740498,1.071653861,1.043500849,1.01599672,1.260583348,0.764391412,0.638726121,1.175386659,0.747422779,0.423078991,1.204349551,0.494675993,0.769067201,1.130759773,0.741821503,0.798112258,1.466832004,0.597635823,1.314018727,1.320957253,1.312378833,1.321962539,9.708591791,7.871375559,7.812550722,7.937890541,6.022665303,6.127948261,6.067758942,6.097560543,0.492963724,0.493253918,0.489581361,0.491732202,0.178090505,0.186996917,0.177558602,0.186710037,0.505305475,0.504350085,0.504770614,0.505635199,1.245181673,1.295287534,1.246655451,1.28862127,0.832268835,0.848818807,0.833446406,0.84701188,1.040334408,1.04409598,1.039510169,1.044282329,2.723954336,2.723196899,2.723638805,2.723196899,0.528401277,0.528813364,0.527969815,0.528861886,7.109844423,7.109435375,7.111393981,7.109435375,7.435112054,7.502807581,7.460495245,7.487656861,0.965770047,0.809657359,0.434863992,0.509789203,0.326955483,0.811180076,0.687215002,0.56209944,0.685667272,1.317787603,0.499121946,0.737134362,0.723461801,1,0.784204206,0.69927259,0.496005344,2.392973371,0.618681436,0.583146577,0.68299227,0.981836455,1.042554427,1.012988609,1.169625007,0.713118665,1.066703479,1.365972408,1.369139243,1,1.253342522,1.265228954,,0.316639742,1.003773585,1.005037783,0.772580645,0.980916031,0.984555985,0.772580645,0.517054103,1.236241579,1.033772587,Tripli,Prostratin,p1_Tripli,p1_Tripli_Prostratin
4,p1,E03,Ctrl;DMSO,0.710072701,0.655354865,1.043127584,0.927165915,0.692843229,0.672156102,1.118117892,1.031400186,1.232318821,0.807455598,0.947998258,1.01663878,0.82344429,0.938876137,0.804908561,1.038288366,0.99767819,1.104668593,0.770221245,0.794801147,1.033442556,0.730787388,0.522047828,1.179710888,0.701649975,0.86427186,1.299818161,0.950022659,0.958410731,1.341241005,0.70169826,1.226805934,1.231653613,1.225403263,1.232110355,0.405309049,0.333068088,0.323387374,0.306735079,0.23223751,0.220289052,0.232912799,0.22553775,0.60643205,0.610228621,0.599936497,0.607990504,0.282348525,0.287737076,0.283038447,0.284530647,0.667971331,0.667962428,0.666756176,0.670175044,1.273232345,1.320584933,1.277380314,1.310394125,0.959510623,0.978313023,0.961682881,0.975191116,1.056132845,1.060724024,1.055257229,1.061096964,0.421396959,0.421333579,0.421385231,0.421333579,0.687804051,0.687186811,0.687556434,0.687618014,0.26860244,0.267765873,0.267760075,0.267765873,0.270495819,0.263975535,0.270329521,0.266849855,0.997611023,0.966126501,0.601761022,0.427938009,0.515723574,0.930694806,0.860265106,0.628481323,0.844441397,1.059807839,0.787777236,0.891949452,0.863141669,1,0.893204598,0.851173808,0.773755998,0.937926653,0.829728608,0.715228851,0.778692792,0.997872611,1.090111841,1.139953586,1.075318394,0.663759596,1.097703071,1.33951339,1.339607709,1,1.437538325,1.453846721,inf,0.749596123,1.122012579,1.120906801,0.880645161,1.282442748,1.28957529,0.880645161,0.907809817,1.045096468,1.271831695,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
5,p1,F03,Ctrl;DMSO,0.94485117,1.107173651,1.332998171,1.25282357,1.477202443,1.39817217,1.20879226,0.918276045,1.062707206,0.497187878,0.820958284,1.423922458,1.256618855,1.161511707,1.08674656,1.39681825,1.343003622,1.222069713,0.673511586,0.549685284,1.111956079,0.655276834,0.411759004,1.419199995,0.593689447,0.811799243,1.394406937,0.839099586,0.822501373,1.147994576,0.539968896,1.245283433,1.249303292,1.243361357,1.250045324,1.828384145,1.563457334,1.561830707,1.432810817,1.314311961,1.325484503,1.311557453,1.33614098,0.557833162,0.565181741,0.558435026,0.562613329,0.274972069,0.292263088,0.276199441,0.29079352,0.60735387,0.608843398,0.608415343,0.610309989,1.222604545,1.250198455,1.215141824,1.243903544,0.89620562,0.90722936,0.894505381,0.905448298,1.031456879,1.033353725,1.030374712,1.03357739,1.346701714,1.34616769,1.346654842,1.34616769,0.631626617,0.632504194,0.632071757,0.632769058,1.472103927,1.468783794,1.469035014,1.468783794,1.527607909,1.532518556,1.523952544,1.53852088,0.929022815,0.865465097,0.341922072,0.363387761,0.358511108,0.791258011,0.710554204,0.531050611,0.75700753,1.247402432,0.563414147,0.78030013,0.786225179,1.000011396,0.833184685,0.767528627,0.563034819,1.180962655,0.66371563,0.477894086,0.558252822,1.065971111,0.970209847,0.95320638,1.140483402,0.345905734,1.054844603,1.183524075,1.169147626,0.994048,1.164523194,1.16356554,inf,0.581583199,1.220125786,1.204030227,1.077419355,1.278625954,1.27027027,1.083870968,0.643160702,1.174554292,1.024510012,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
6,p1,G03,Ctrl;DMSO,0.946814599,0.964158789,1.088179462,1.041243348,1.039106367,1.023661843,1.1720829,0.89870301,1.100843384,0.396363154,0.753403556,1.470867383,1.300951979,1.233826248,1.149187488,1.232916566,1.178528615,1.275085787,0.623908634,0.447758295,1.151647622,0.611510693,0.329491586,1.230417452,0.408313053,0.624577024,1.198452964,0.625972214,0.755591177,1.239143342,0.462911675,1.370877756,1.378024442,1.368944405,1.378790122,3.594008183,3.206205803,3.037976786,3.000043094,2.374896131,2.386150157,2.381563886,2.396747982,0.422145841,0.434266187,0.419644779,0.433062101,0.063011807,0.070565629,0.062242503,0.070074205,0.404383287,0.40718902,0.404157111,0.408661497,1.330507661,1.357387079,1.329207106,1.345891439,0.782014508,0.78996939,0.78239977,0.787082811,1.05512227,1.058998555,1.054165124,1.059320902,1.512688412,1.512226785,1.512554151,1.51221448,0.432605138,0.437883091,0.432070922,0.438460042,2.856040988,2.856629705,2.857124781,2.856629705,3.001686605,3.011212034,3.005614491,3.018037147,0.950726,0.824261209,0.188570142,0.31428503,0.166936686,0.743308791,0.637453184,0.373480387,0.654654737,1.49679449,0.424219037,0.699412749,0.696180239,1.000039886,0.762924298,0.669604339,0.418298894,1.567782033,0.556829763,0.389051787,0.487444888,1.060368286,0.984839187,0.985140317,1.16164869,0.272519184,1.100028256,1.159405127,1.144790315,0.989474,1.139310764,1.096594028,,0.481421648,1.013836478,1,0.909677419,1.061068702,1.015444015,0.919354839,0.630873954,1.180564573,0.980285161,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
7,p1,H03,Ctrl;DMSO,0.876941471,0.683894204,0.974594121,0.944621657,0.682028284,0.678557833,1.178867243,0.900173684,1.328631123,0.46595118,0.81897975,1.20409488,1.042547771,1.077638667,0.972737847,1.034091827,0.986808256,1.128417916,0.64127964,0.525508336,1.032248884,0.60619661,0.394381547,1.045652341,0.433332461,0.617714799,1.062613834,0.637048235,0.824101898,1.39393547,0.500497856,1.333168734,1.339861521,1.331355549,1.341062877,0.190191369,0.165966964,0.135803718,0.120265029,0.059878072,0.057902022,0.062542339,0.062460759,0.437640167,0.443971256,0.435160766,0.438482208,0.147898251,0.158369523,0.146994066,0.15535214,0.462092383,0.463125204,0.461844766,0.463213599,1.248262411,1.281840759,1.248723495,1.285150522,0.799925754,0.810730831,0.800881619,0.812053461,1.068685192,1.074601689,1.067500816,1.07531208,0.236705524,0.23670712,0.236767782,0.23670712,0.483295409,0.484380311,0.483100686,0.484073413,0.078566732,0.078629095,0.07863831,0.078629095,0.076818628,0.075867241,0.078395269,0.078486937,0.887049469,0.825521552,0.347783753,0.367712698,0.278405969,0.845853807,0.689997238,0.539764274,0.68235805,1.288274807,0.532158445,0.74672087,0.720550159,1.000014245,0.781934043,0.696105061,0.493230254,1.043561022,0.609358218,0.478186473,0.566612974,1.050021214,1.057432085,1.177257787,1.006575673,0.363157975,0.954167107,1.23467435,1.221548963,0.992218,1.249803484,1.248433196,inf,0.310177706,0.973584906,0.962216625,0.822580645,1.049618321,1.042471042,0.829032258,0.479100961,1.254807034,1.003963605,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
8,p1,I03,Ctrl;PEP005,0.609864175,0.655634849,1.431895603,1.271492902,0.914156166,0.824104038,1.318671594,0.954520515,1.297493346,1.203045001,0.890981207,1.129533501,0.985451987,1.137861596,1.028730501,0.682777451,0.648936643,1.282156402,0.766937027,1.279568591,1.137442144,0.749080132,0.730979686,0.742958953,0.550319814,0.466071575,0.72808353,0.481069082,0.873709623,1.444213407,0.655697925,1.302263168,1.311091405,1.300873574,1.312345076,0.269626501,0.230974865,0.17001642,0.19040293,0.092868447,0.088086408,0.098321483,0.093252329,0.442709636,0.428952743,0.427470771,0.427161149,0.135701581,0.138013102,0.136562763,0.135424451,0.519717074,0.513280777,0.515848018,0.514196389,1.433288676,1.55900931,1.452767148,1.555254531,0.921541455,0.96001069,0.927979337,0.959262155,1.068793468,1.076173807,1.068148435,1.076626741,0.307762848,0.307686155,0.3076301,0.307686155,0.547479934,0.545134815,0.546468417,0.544866577,0.118019027,0.118087958,0.118074887,0.118087958,0.115261816,0.112845369,0.118377291,0.115748523,1.168534899,1.085025717,1.673203584,0.632358372,0.698600568,0.781579596,0.709439238,0.584004312,0.75755602,1.37793555,0.559922328,0.780383758,0.787453877,1.006207977,0.835503123,0.768319107,0.540182812,1.393578702,0.673014827,1.389556819,1.516205319,1.059465575,1.298465161,1.109371291,0.912819741,0.641526959,0.797378882,1.486308053,1.483598386,0.996255,1.496087787,1.468715019,inf,0.084006462,0.608805031,0.607052897,0.429032258,0.652671756,0.637065637,0.430645161,0.27014162,1.357023511,1.067423778,Tripli,PEP005,p1_Tripli,p1_Tripli_PEP005
9,p1,J03,Ctrl;DMSO,0.579554276,0.776499111,1.357485243,1.309147432,1.034512739,1.005971923,1.306282065,0.916978558,1.063953637,0.452359887,0.765747017,1.42346561,1.409259194,1.329318316,1.375956037,1.19978873,1.152218255,1.358714105,0.689675943,0.500830432,1.21866712,0.681383335,0.42350009,1.184234282,0.453469608,0.624333012,1.035540701,0.591413641,0.807168497,1.114365998,0.551016081,1.252953782,1.258083833,1.250820295,1.259010434,1.726188905,1.371256375,1.180741719,1.428016591,1.393473495,1.437022372,1.419604141,1.426831812,0.627898276,0.622996572,0.628793647,0.617430613,0.253162679,0.265344194,0.257150263,0.262099098,0.573483237,0.571526865,0.574314648,0.572371705,1.058353325,1.083671653,1.052781937,1.081845668,0.800995633,0.810730831,0.799756637,0.810352476,1.030159756,1.033101083,1.028842489,1.033705434,0.937559583,0.937258702,0.937377873,0.937257472,0.603612915,0.606497878,0.603948205,0.606339393,1.546293674,1.547364067,1.547219326,1.547364067,1.636399294,1.661714838,1.651266649,1.656375819,1.109356223,0.85316845,0.306214781,0.392000543,0.269161768,0.784523116,0.628759557,0.316148919,0.716675237,1.292517643,0.349115399,0.751854674,0.750741873,1,0.805491356,0.72894084,0.337559984,0.978534141,0.621879536,0.451775334,0.486599479,1.112230027,1.189521326,0.95226805,1.185040643,0.359393387,1.063166091,1.064003437,1.05182195,0.998217,0.945226679,0.944726341,inf,0.384491115,0.91572327,0.904282116,0.903225806,0.866412214,0.861003861,0.90483871,0.532750454,1.22856343,0.962421623,Tripli,DMSO,p1_Tripli,p1_Tripli_DMSO
