Plate,Well,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea,Class,CPD_ID,Experiment,Exp_CPD
p1,B04,DMSO;WT,0.511015,0.208322,28.959,27.1453,14.5298,13.726,632.551,418.073,419.763,8627680.0,559.579,4.29032,1.71903,544.639,241.414,84419,79908,11424.9,10475.7,20636.8,4471.58,4039.29,3.59727,1770860.0,5324300.0,1477080.0,1480090.0,1025980.0,530.066,420.511,2141090.0,0.810314,0.805931,0.810579,0.806141,4.96628,6.24135,4.98707,6.28211,4948.09,4810.17,4942.69,4805.14,0.0950463,0.105196,0.094661,0.104844,1.17574e-06,1.4534e-06,1.16395e-06,1.43739e-06,0.228344,0.235458,0.227964,0.235199,-0.551082,-0.505934,-0.552932,-0.507578,0.399445,0.384053,0.399981,0.384628,0.953005,0.947371,0.953245,0.947615,1.80066,1.80035,1.79945,1.80035,0.21189,0.216751,0.211576,0.21659,17.8981,17.8886,17.8785,17.8886,67.4884,66.5508,67.4178,66.5184,397.759,523.019,17063.1,7354.79,4402290.0,451.524,627.31,-4.12235,1106.66,50.9031,-3.51844,597.805,700.347,223.367,453.024,912.338,-3.65979,69.7331,124.612,8599530.0,19036.9,465.605,425.407,382.535,2604.19,2204.4,661.154,0.468278,0.425982,0.779456,0.767372,30,331,155,141,258,331,254,0.0831025,0.916898,1648.47,WT,DMSO,p1_WT,p1_WT_DMSO
p1,C04,DMSO;WT,0.589334,0.239601,22.1537,21.8767,12.8858,12.399,653.286,398.652,421.011,10361500.0,528.684,4.15333,2.12268,525.467,281.859,78820,75820,11835.6,11711.2,25991.4,5379.8,4889.43,3.66388,1775350.0,5302250.0,1487320.0,1447170.0,982775.0,494.995,424.251,2420240.0,0.814428,0.810365,0.814606,0.810373,0.354423,0.422467,0.364229,0.41763,256.869,248.178,256.199,248.644,0.0827404,0.0915048,0.0828295,0.0912186,1.86186e-06,2.25427e-06,1.84843e-06,2.23207e-06,0.221621,0.228321,0.22161,0.228201,-0.546155,-0.502467,-0.546018,-0.503241,0.391684,0.376928,0.391606,0.3772,0.962301,0.957727,0.962346,0.957918,0.464651,0.464748,0.464563,0.464747,0.205036,0.208706,0.204925,0.208605,0.971091,0.971367,0.970955,0.971366,3.48874,3.43008,3.48421,3.4332,382.636,499.129,21972.9,8203.31,4482480.0,422.978,589.518,-4.09305,1054.06,53.3215,-3.71931,563.453,671.045,221.418,437.905,870.879,-3.86675,67.7795,118.664,10103400.0,23830.6,464.971,386.555,384.733,2973.53,2825.15,691.732,0.557621,0.472119,0.758364,0.747212,28,269,150,127,204,269,201,0.0942761,0.905724,1662.1,WT,DMSO,p1_WT,p1_WT_DMSO
p1,D04,GNE;WT,0.189193,0.05318,16.0124,21.3597,2.01819,2.74603,571.687,390.545,443.358,9903220.0,550.781,5.98851,1.18158,905.874,196.092,78811,74515,15372.0,12057.0,25357.4,5198.23,4892.95,2.69578,1337370.0,5325060.0,1048960.0,1975330.0,1022630.0,459.482,463.054,2248220.0,0.815172,0.810004,0.815774,0.810703,0.523467,0.865997,0.700312,0.949139,374.926,339.043,358.541,327.77,0.0898846,0.0988214,0.0889129,0.0979431,2.5008e-06,3.01282e-06,2.45163e-06,2.92199e-06,0.219869,0.226786,0.219102,0.226134,-0.460838,-0.41314,-0.466895,-0.417741,0.351585,0.334071,0.353795,0.3358,0.972405,0.968948,0.972778,0.969393,0.220831,0.220945,0.22101,0.220945,0.1991,0.20265,0.198764,0.202229,1.42271,1.42373,1.42338,1.42373,5.29318,5.05613,5.18531,4.98115,379.172,521.41,21571.2,9110.74,4529940.0,416.764,584.986,-4.42509,1018.63,56.3323,-3.72139,541.365,652.838,223.436,430.185,843.684,-3.86303,76.814,104.92,8386940.0,20114.6,458.531,417.236,383.469,4490.3,2513.85,517.705,0.228947,0.228947,0.552632,0.55,59,380,87,87,210,380,209,0.134396,0.865604,1616.24,WT,GNE,p1_WT,p1_WT_GNE
p1,E04,GNE;WT,0.448944,0.118525,20.8416,22.8253,6.15833,6.6609,523.89,358.822,539.132,7769730.0,464.291,6.33333,0.831197,1219.57,168.323,84150,78775,18326.3,15494.4,21653.4,4927.57,4594.35,2.51642,1264520.0,5803120.0,991641.0,2306100.0,1226690.0,424.262,621.445,1949210.0,0.803006,0.798055,0.803633,0.797697,10.7609,13.1554,10.4933,12.5585,6411.48,6118.31,6437.44,6175.55,0.0904576,0.09896,0.0893611,0.098991,2.68616e-06,3.21347e-06,2.62322e-06,3.27041e-06,0.225849,0.23254,0.224976,0.232641,-0.461477,-0.415989,-0.46714,-0.415303,0.356042,0.339158,0.358045,0.338894,0.945789,0.939934,0.946535,0.939582,2.33192,2.33212,2.33135,2.33212,0.205449,0.208911,0.204988,0.209112,25.2661,25.2712,25.2597,25.2712,91.7764,89.8448,91.9384,90.2201,348.847,434.196,17781.5,12061.9,4765430.0,364.089,460.232,-2.73875,893.824,71.0451,-2.32801,469.31,585.303,223.127,397.508,746.27,-2.38113,67.8804,92.8179,6782230.0,17847.0,452.052,360.254,380.226,4779.0,1993.08,580.985,0.147436,0.136752,0.57265,0.570513,97,468,69,64,268,468,267,0.171681,0.828319,1761.12,WT,GNE,p1_WT,p1_WT_GNE
p1,F04,GNE;WT,0.143071,0.0278131,21.109,20.6362,1.42465,1.39039,564.404,424.991,533.707,8363330.0,664.786,4.4,0.800416,733.981,147.599,77068,70995,13189.1,11952.3,19678.8,4302.63,4184.65,2.48176,1384860.0,5136180.0,1135470.0,2069570.0,1079640.0,531.269,599.152,2223170.0,0.81939,0.814613,0.819606,0.814287,1.015,1.43831,1.11144,1.62911,1138.12,1071.88,1125.7,1051.8,0.0865068,0.095111,0.0861627,0.0958989,2.3128e-06,2.77984e-06,2.30113e-06,2.79074e-06,0.216499,0.223199,0.216193,0.223791,-0.481477,-0.435155,-0.48372,-0.431072,0.358425,0.341915,0.359203,0.340384,0.973679,0.970406,0.973797,0.97014,0.240811,0.240946,0.240832,0.240946,0.196931,0.200386,0.196806,0.200557,4.19988,4.20309,4.20039,4.20309,15.9296,15.4937,15.8478,15.3599,416.454,671.585,16111.3,8832.23,4205050.0,401.062,567.506,-3.81963,1020.17,54.1249,-3.69638,544.289,652.598,221.103,428.86,844.373,-3.85131,67.9862,116.864,7192090.0,17270.3,451.496,382.466,382.141,3758.49,2334.62,493.468,0.218295,0.197505,0.54262,0.536383,143,481,105,95,261,481,258,0.229167,0.770833,1709.56,WT,GNE,p1_WT,p1_WT_GNE
p1,G04,GNE;WT,0.554918,0.227176,20.5074,20.5185,10.8561,10.9423,618.962,369.024,452.889,8722370.0,479.02,4.54839,1.26502,767.763,237.837,71402,67308,14086.0,12113.4,23636.3,5700.83,4949.5,2.27084,1310000.0,3663620.0,1017520.0,1613340.0,767173.0,430.634,457.624,2131420.0,0.868701,0.864894,0.868628,0.86455,3.2911,3.84063,3.29311,3.93688,1592.92,1524.44,1593.25,1512.84,0.0761578,0.083291,0.076023,0.0844402,8.76584e-07,1.09052e-06,8.7678e-07,1.10222e-06,0.162886,0.167906,0.162925,0.168617,-0.474644,-0.42813,-0.47458,-0.421474,0.31053,0.295682,0.310537,0.293476,0.963135,0.958975,0.963195,0.95848,1.0104,1.01082,1.01065,1.01082,0.150539,0.154152,0.150625,0.154647,6.80954,6.8131,6.81117,6.8131,24.4683,23.9905,24.4733,23.9086,354.904,453.876,19657.4,8670.31,3046900.0,397.765,532.926,-3.47867,972.192,52.0248,-2.97317,513.652,626.654,221.023,416.327,806.935,-3.12923,56.8561,102.923,6486480.0,16104.0,476.205,364.073,398.811,3595.18,2398.21,477.982,0.328622,0.29682,0.547703,0.547703,110,283,93,84,155,283,155,0.279898,0.720102,1670.39,WT,GNE,p1_WT,p1_WT_GNE
p1,H04,MLi;WT,0.209858,0.0391559,27.5081,22.2177,2.67396,2.16182,615.249,381.456,575.375,8745810.0,510.112,5.36154,1.68286,663.438,232.014,86247,81205,13543.5,12410.0,22927.4,4943.31,4445.13,2.90211,1760660.0,5021100.0,1389920.0,1730160.0,973484.0,447.103,675.228,1987430.0,0.829256,0.825539,0.82977,0.825573,0.739873,0.968504,0.643648,0.885194,272.303,237.683,284.11,244.982,0.0779447,0.0849953,0.0770216,0.08477,1.85705e-06,2.19061e-06,1.81773e-06,2.19897e-06,0.202667,0.208162,0.201877,0.207971,-0.506506,-0.466272,-0.512062,-0.467653,0.358571,0.34497,0.360377,0.345457,0.976891,0.974325,0.977225,0.974365,0.201305,0.201345,0.201261,0.201345,0.186114,0.188981,0.185712,0.188973,1.19024,1.19106,1.19032,1.19106,4.16993,3.93902,4.24944,3.98802,368.836,489.835,18978.2,8883.08,4156220.0,398.472,540.568,-3.39347,913.781,67.414,-3.03264,510.078,595.642,222.174,401.992,761.627,-3.17411,74.894,98.1545,7382540.0,18896.3,461.945,362.693,385.998,3832.44,2718.32,611.82,0.371429,0.32,0.625714,0.625714,45,350,130,112,219,350,219,0.113924,0.886076,1685.74,WT,MLi,p1_WT,p1_WT_MLi
p1,I04,MLi;WT,0.461768,0.112112,22.4547,19.7937,6.12615,5.04882,606.447,396.387,474.816,7601310.0,501.078,4.28571,1.52907,556.879,214.233,77963,73696,11251.4,10005.6,19176.5,4732.18,3928.05,2.81544,1575200.0,4583180.0,1260700.0,1627870.0,938803.0,474.576,487.637,1864150.0,0.835106,0.831083,0.835719,0.831007,0.272705,0.309907,0.266892,0.33846,128.728,123.436,129.166,120.392,0.0876463,0.0959924,0.0865858,0.0961518,1.17904e-06,1.43604e-06,1.13904e-06,1.43092e-06,0.200988,0.206998,0.200184,0.207187,-0.508265,-0.463881,-0.513837,-0.462506,0.357954,0.342993,0.359733,0.342505,0.974484,0.971483,0.974886,0.971501,0.238207,0.238237,0.238107,0.238237,0.186377,0.190505,0.185767,0.190576,0.514665,0.514834,0.514512,0.514834,1.84469,1.80892,1.84747,1.7884,380.069,466.402,15783.8,7127.43,3772330.0,397.623,552.265,-3.28199,1052.51,56.7162,-2.89472,556.275,670.292,221.601,437.637,869.71,-2.96963,70.209,116.335,7042250.0,16693.5,469.159,389.838,388.803,2836.4,2159.06,601.172,0.406977,0.366279,0.694767,0.694767,78,344,140,126,239,344,239,0.184834,0.815166,1744.5,WT,MLi,p1_WT,p1_WT_MLi
p1,J04,MLi;WT,0.518689,0.157247,23.6604,21.6025,8.93503,8.08538,556.965,377.675,446.109,7235570.0,475.385,5.44068,1.25293,664.822,169.532,78449,72390,12632.4,10596.3,19158.2,4379.79,4005.57,2.48931,1490620.0,4655440.0,1176190.0,1870170.0,969347.0,449.731,458.198,1801430.0,0.836033,0.832268,0.836482,0.832141,3.06691,3.85668,3.20512,3.818,1934.88,1852.32,1928.55,1857.85,0.0866682,0.094689,0.0860265,0.0948303,1.15403e-06,1.39493e-06,1.12791e-06,1.41242e-06,0.196584,0.202186,0.196013,0.202222,-0.503001,-0.460608,-0.507462,-0.460338,0.351981,0.337764,0.353438,0.337671,0.957137,0.952589,0.957584,0.952375,1.14763,1.14793,1.14772,1.14793,0.182362,0.186224,0.181894,0.186245,7.64774,7.65158,7.64836,7.65159,27.9852,27.4276,27.9444,27.4649,363.617,443.984,15534.3,7437.41,3774840.0,387.208,498.816,-2.51946,959.739,56.4281,-2.3617,494.593,620.076,221.34,413.324,797.292,-2.47795,58.3957,98.8042,6999410.0,17150.5,443.081,365.724,427.426,3306.57,2230.19,490.766,0.276347,0.259953,0.569087,0.566745,71,427,118,111,243,427,242,0.14257,0.85743,1855.52,WT,MLi,p1_WT,p1_WT_MLi
p1,K04,MLi;WT,0.529327,0.408247,26.3771,25.7928,25.5974,25.0025,599.132,359.976,431.74,6927360.0,453.929,3.80451,1.06186,619.075,197.448,82337,76610,12367.7,11062.2,19244.0,4974.89,4198.32,2.31296,1644900.0,4464600.0,1283220.0,1930260.0,974011.0,423.381,425.112,1777490.0,0.843781,0.839516,0.843929,0.839221,8.05489,9.58553,8.14062,9.63497,4331.69,4151.16,4328.96,4143.79,0.0832009,0.0911863,0.0830742,0.0915379,1.30528e-06,1.60466e-06,1.29204e-06,1.6298e-06,0.18584,0.191608,0.185724,0.191891,-0.473661,-0.426817,-0.474817,-0.42448,0.330137,0.314315,0.330536,0.313498,0.956779,0.951825,0.956928,0.951544,1.82747,1.82827,1.82777,1.82826,0.172204,0.176164,0.172114,0.176334,17.9646,17.9737,17.967,17.9737,64.9114,63.6825,64.8971,63.6315,344.831,426.3,15662.8,7888.38,3633780.0,377.472,507.283,-2.82165,931.898,68.4333,-2.63682,503.174,605.233,221.756,406.393,775.667,-2.76911,86.4949,101.425,5580260.0,14370.2,473.549,352.649,390.365,3669.64,2422.25,557.564,0.342784,0.298969,0.597938,0.597938,109,388,133,116,232,388,232,0.219316,0.780684,1772.9,WT,MLi,p1_WT,p1_WT_MLi
